,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0.0,140.0,222.0,208.0,264.0,118.0,221.0,30.0,50.0,35.0,88.0,104.0,159.0,114.0,29.0,36.0,104.0,101.0,19.0,228.0,23.0,139.0,154.0,242.0,16.0,274.0,61.0,98.0,51.0,206.0,45.0,137.0,143.0,71.0,120.0,120.0,114.0,12.0,32.0,128.0
2,140.0,0.0,90.0,270.0,22.0,54.0,194.0,61.0,13.0,45.0,33.0,98.0,47.0,49.0,34.0,87.0,33.0,17.0,80.0,206.0,21.0,75.0,170.0,97.0,98.0,59.0,26.0,32.0,56.0,17.0,12.0,27.0,61.0,12.0,31.0,33.0,23.0,24.0,20.0,42.0
3,222.0,90.0,0.0,118.0,78.0,48.0,56.0,55.0,50.0,37.0,93.0,79.0,129.0,202.0,74.0,21.0,43.0,48.0,65.0,222.0,24.0,98.0,62.0,130.0,72.0,48.0,127.0,33.0,90.0,66.0,39.0,97.0,99.0,52.0,100.0,69.0,36.0,39.0,47.0,19.0
4,208.0,270.0,118.0,0.0,236.0,135.0,148.0,116.0,266.0,71.0,68.0,171.0,268.0,144.0,85.0,111.0,155.0,200.0,29.0,306.0,75.0,171.0,237.0,358.0,107.0,329.0,66.0,188.0,150.0,187.0,29.0,112.0,292.0,112.0,141.0,123.0,169.0,88.0,160.0,229.0
5,264.0,22.0,78.0,236.0,0.0,80.0,26.0,3.0,51.0,6.0,29.0,9.0,171.0,45.0,10.0,19.0,40.0,67.0,24.0,122.0,23.0,96.0,46.0,294.0,15.0,238.0,17.0,48.0,30.0,106.0,17.0,132.0,94.0,54.0,63.0,137.0,28.0,43.0,69.0,10.0
6,118.0,54.0,48.0,135.0,80.0,0.0,74.0,60.0,56.0,36.0,95.0,85.0,53.0,48.0,26.0,87.0,99.0,228.0,63.0,67.0,39.0,189.0,65.0,237.0,50.0,212.0,154.0,48.0,162.0,51.0,65.0,119.0,266.0,73.0,307.0,109.0,204.0,11.0,116.0,83.0
7,221.0,194.0,56.0,148.0,26.0,74.0,0.0,52.0,44.0,72.0,26.0,106.0,95.0,86.0,25.0,218.0,104.0,97.0,14.0,74.0,16.0,104.0,265.0,285.0,23.0,144.0,33.0,84.0,21.0,112.0,20.0,64.0,113.0,43.0,66.0,206.0,72.0,44.0,61.0,9.0
8,30.0,61.0,55.0,116.0,3.0,60.0,52.0,0.0,85.0,32.0,24.0,30.0,36.0,37.0,63.0,50.0,51.0,14.0,35.0,56.0,20.0,19.0,23.0,43.0,86.0,25.0,31.0,12.0,139.0,13.0,8.0,25.0,47.0,10.0,38.0,19.0,21.0,94.0,67.0,70.0
9,50.0,13.0,50.0,266.0,51.0,56.0,44.0,85.0,0.0,40.0,40.0,62.0,266.0,79.0,72.0,84.0,92.0,108.0,23.0,32.0,73.0,82.0,19.0,130.0,4.0,108.0,17.0,40.0,66.0,64.0,11.0,32.0,93.0,29.0,67.0,58.0,100.0,153.0,234.0,17.0
10,35.0,45.0,37.0,71.0,6.0,36.0,72.0,32.0,40.0,0.0,17.0,36.0,13.0,107.0,38.0,7.0,18.0,17.0,112.0,40.0,71.0,52.0,7.0,129.0,57.0,37.0,102.0,12.0,12.0,20.0,34.0,25.0,61.0,49.0,16.0,112.0,5.0,22.0,34.0,6.0
11,88.0,33.0,93.0,68.0,29.0,95.0,26.0,24.0,40.0,17.0,0.0,20.0,27.0,12.0,14.0,36.0,96.0,73.0,20.0,69.0,12.0,123.0,40.0,98.0,21.0,38.0,96.0,23.0,21.0,25.0,113.0,57.0,268.0,31.0,103.0,40.0,32.0,5.0,49.0,21.0
12,104.0,98.0,79.0,171.0,9.0,85.0,106.0,30.0,62.0,36.0,20.0,0.0,59.0,44.0,28.0,83.0,61.0,163.0,22.0,84.0,65.0,75.0,78.0,200.0,47.0,138.0,54.0,18.0,118.0,30.0,46.0,79.0,92.0,39.0,115.0,68.0,43.0,6.0,85.0,134.0
13,159.0,47.0,129.0,268.0,171.0,53.0,95.0,36.0,266.0,13.0,27.0,59.0,0.0,130.0,106.0,23.0,32.0,18.0,35.0,206.0,25.0,50.0,68.0,206.0,43.0,137.0,10.0,86.0,36.0,219.0,4.0,41.0,35.0,74.0,17.0,33.0,114.0,254.0,279.0,83.0
14,114.0,49.0,202.0,144.0,45.0,48.0,86.0,37.0,79.0,107.0,12.0,44.0,130.0,0.0,113.0,18.0,24.0,13.0,199.0,71.0,86.0,53.0,32.0,151.0,100.0,99.0,9.0,57.0,88.0,159.0,1.0,41.0,61.0,140.0,23.0,110.0,22.0,295.0,182.0,15.0
15,29.0,34.0,74.0,85.0,10.0,26.0,25.0,63.0,72.0,38.0,14.0,28.0,106.0,113.0,0.0,32.0,28.0,19.0,59.0,47.0,13.0,17.0,24.0,53.0,69.0,27.0,20.0,18.0,37.0,28.0,2.0,22.0,36.0,60.0,11.0,30.0,15.0,122.0,109.0,32.0
16,36.0,87.0,21.0,111.0,19.0,87.0,218.0,50.0,84.0,7.0,36.0,83.0,23.0,18.0,32.0,0.0,157.0,168.0,30.0,11.0,5.0,57.0,20.0,257.0,9.0,91.0,29.0,15.0,13.0,24.0,33.0,59.0,123.0,47.0,200.0,110.0,151.0,15.0,12.0,12.0
17,104.0,33.0,43.0,155.0,40.0,99.0,104.0,51.0,92.0,18.0,96.0,61.0,32.0,24.0,28.0,157.0,0.0,270.0,47.0,48.0,12.0,154.0,40.0,113.0,36.0,153.0,111.0,26.0,11.0,31.0,177.0,194.0,505.0,48.0,222.0,215.0,93.0,10.0,31.0,55.0
18,101.0,17.0,48.0,200.0,67.0,228.0,97.0,14.0,108.0,17.0,73.0,163.0,18.0,13.0,19.0,168.0,270.0,0.0,6.0,39.0,26.0,241.0,78.0,601.0,8.0,390.0,42.0,52.0,154.0,41.0,114.0,254.0,211.0,33.0,274.0,156.0,224.0,4.0,36.0,90.0
19,19.0,80.0,65.0,29.0,24.0,63.0,14.0,35.0,23.0,112.0,20.0,22.0,35.0,199.0,59.0,30.0,47.0,6.0,0.0,26.0,17.0,39.0,19.0,37.0,76.0,8.0,89.0,7.0,13.0,3.0,12.0,32.0,71.0,144.0,44.0,57.0,4.0,132.0,32.0,5.0
20,228.0,206.0,222.0,306.0,122.0,67.0,74.0,56.0,32.0,40.0,69.0,84.0,206.0,71.0,47.0,11.0,48.0,39.0,26.0,0.0,6.0,110.0,205.0,132.0,78.0,98.0,126.0,130.0,45.0,74.0,48.0,70.0,84.0,23.0,39.0,38.0,49.0,19.0,31.0,112.0
21,23.0,21.0,24.0,75.0,23.0,39.0,16.0,20.0,73.0,71.0,12.0,65.0,25.0,86.0,13.0,5.0,12.0,26.0,17.0,6.0,0.0,59.0,6.0,103.0,30.0,72.0,5.0,14.0,154.0,23.0,10.0,26.0,41.0,21.0,26.0,36.0,17.0,32.0,161.0,4.0
22,139.0,75.0,98.0,171.0,96.0,189.0,104.0,19.0,82.0,52.0,123.0,75.0,50.0,53.0,17.0,57.0,154.0,241.0,39.0,110.0,59.0,0.0,94.0,211.0,33.0,232.0,154.0,80.0,104.0,71.0,128.0,253.0,311.0,80.0,226.0,183.0,109.0,11.0,106.0,102.0
23,154.0,170.0,62.0,237.0,46.0,65.0,265.0,23.0,19.0,7.0,40.0,78.0,68.0,32.0,24.0,20.0,40.0,78.0,19.0,205.0,6.0,94.0,0.0,175.0,35.0,112.0,14.0,66.0,20.0,28.0,15.0,47.0,95.0,12.0,42.0,10.0,13.0,11.0,37.0,28.0
24,242.0,97.0,130.0,358.0,294.0,237.0,285.0,43.0,130.0,129.0,98.0,200.0,206.0,151.0,53.0,257.0,113.0,601.0,37.0,132.0,103.0,211.0,175.0,0.0,75.0,492.0,86.0,179.0,206.0,325.0,109.0,344.0,137.0,234.0,330.0,271.0,269.0,23.0,149.0,226.0
25,16.0,98.0,72.0,107.0,15.0,50.0,23.0,86.0,4.0,57.0,21.0,47.0,43.0,100.0,69.0,9.0,36.0,8.0,76.0,78.0,30.0,33.0,35.0,75.0,0.0,34.0,85.0,20.0,80.0,13.0,21.0,15.0,67.0,50.0,34.0,50.0,8.0,78.0,93.0,30.0
26,274.0,59.0,48.0,329.0,238.0,212.0,144.0,25.0,108.0,37.0,38.0,138.0,137.0,99.0,27.0,91.0,153.0,390.0,8.0,98.0,72.0,232.0,112.0,492.0,34.0,0.0,17.0,113.0,127.0,151.0,27.0,279.0,144.0,62.0,132.0,120.0,121.0,6.0,137.0,127.0
27,61.0,26.0,127.0,66.0,17.0,154.0,33.0,31.0,17.0,102.0,96.0,54.0,10.0,9.0,20.0,29.0,111.0,42.0,89.0,126.0,5.0,154.0,14.0,86.0,85.0,17.0,0.0,9.0,31.0,10.0,377.0,126.0,470.0,71.0,248.0,105.0,38.0,12.0,12.0,4.0
28,98.0,32.0,33.0,188.0,48.0,48.0,84.0,12.0,40.0,12.0,23.0,18.0,86.0,57.0,18.0,15.0,26.0,52.0,7.0,130.0,14.0,80.0,66.0,179.0,20.0,113.0,9.0,0.0,13.0,73.0,11.0,61.0,89.0,28.0,25.0,57.0,31.0,33.0,108.0,14.0
29,51.0,56.0,90.0,150.0,30.0,162.0,21.0,139.0,66.0,12.0,21.0,118.0,36.0,88.0,37.0,13.0,11.0,154.0,13.0,45.0,154.0,104.0,20.0,206.0,80.0,127.0,31.0,13.0,0.0,12.0,13.0,81.0,54.0,6.0,114.0,46.0,29.0,42.0,294.0,26.0
30,206.0,17.0,66.0,187.0,106.0,51.0,112.0,13.0,64.0,20.0,25.0,30.0,219.0,159.0,28.0,24.0,31.0,41.0,3.0,74.0,23.0,71.0,28.0,325.0,13.0,151.0,10.0,73.0,12.0,0.0,3.0,85.0,71.0,74.0,23.0,57.0,15.0,55.0,98.0,85.0
31,45.0,12.0,39.0,29.0,17.0,65.0,20.0,8.0,11.0,34.0,113.0,46.0,4.0,1.0,2.0,33.0,177.0,114.0,12.0,48.0,10.0,128.0,15.0,109.0,21.0,27.0,377.0,11.0,13.0,3.0,0.0,105.0,488.0,25.0,265.0,73.0,44.0,6.0,6.0,7.0
32,137.0,27.0,97.0,112.0,132.0,119.0,64.0,25.0,32.0,25.0,57.0,79.0,41.0,41.0,22.0,59.0,194.0,254.0,32.0,70.0,26.0,253.0,47.0,344.0,15.0,279.0,126.0,61.0,81.0,85.0,105.0,0.0,186.0,36.0,215.0,169.0,72.0,8.0,47.0,56.0
33,143.0,61.0,99.0,292.0,94.0,266.0,113.0,47.0,93.0,61.0,268.0,92.0,35.0,61.0,36.0,123.0,505.0,211.0,71.0,84.0,41.0,311.0,95.0,137.0,67.0,144.0,470.0,89.0,54.0,71.0,488.0,186.0,0.0,145.0,496.0,261.0,136.0,50.0,80.0,50.0
34,71.0,12.0,52.0,112.0,54.0,73.0,43.0,10.0,29.0,49.0,31.0,39.0,74.0,140.0,60.0,47.0,48.0,33.0,144.0,23.0,21.0,80.0,12.0,234.0,50.0,62.0,71.0,28.0,6.0,74.0,25.0,36.0,145.0,0.0,79.0,262.0,10.0,282.0,101.0,1.0
35,120.0,31.0,100.0,141.0,63.0,307.0,66.0,38.0,67.0,16.0,103.0,115.0,17.0,23.0,11.0,200.0,222.0,274.0,44.0,39.0,26.0,226.0,42.0,330.0,34.0,132.0,248.0,25.0,114.0,23.0,265.0,215.0,496.0,79.0,0.0,184.0,260.0,3.0,43.0,39.0
36,120.0,33.0,69.0,123.0,137.0,109.0,206.0,19.0,58.0,112.0,40.0,68.0,33.0,110.0,30.0,110.0,215.0,156.0,57.0,38.0,36.0,183.0,10.0,271.0,50.0,120.0,105.0,57.0,46.0,57.0,73.0,169.0,261.0,262.0,184.0,0.0,46.0,16.0,101.0,6.0
37,114.0,23.0,36.0,169.0,28.0,204.0,72.0,21.0,100.0,5.0,32.0,43.0,114.0,22.0,15.0,151.0,93.0,224.0,4.0,49.0,17.0,109.0,13.0,269.0,8.0,121.0,38.0,31.0,29.0,15.0,44.0,72.0,136.0,10.0,260.0,46.0,0.0,7.0,25.0,79.0
38,12.0,24.0,39.0,88.0,43.0,11.0,44.0,94.0,153.0,22.0,5.0,6.0,254.0,295.0,122.0,15.0,10.0,4.0,132.0,19.0,32.0,11.0,11.0,23.0,78.0,6.0,12.0,33.0,42.0,55.0,6.0,8.0,50.0,282.0,3.0,16.0,7.0,0.0,261.0,11.0
39,32.0,20.0,47.0,160.0,69.0,116.0,61.0,67.0,234.0,34.0,49.0,85.0,279.0,182.0,109.0,12.0,31.0,36.0,32.0,31.0,161.0,106.0,37.0,149.0,93.0,137.0,12.0,108.0,294.0,98.0,6.0,47.0,80.0,101.0,43.0,101.0,25.0,261.0,0.0,84.0
40,128.0,42.0,19.0,229.0,10.0,83.0,9.0,70.0,17.0,6.0,21.0,134.0,83.0,15.0,32.0,12.0,55.0,90.0,5.0,112.0,4.0,102.0,28.0,226.0,30.0,127.0,4.0,14.0,26.0,85.0,7.0,56.0,50.0,1.0,39.0,6.0,79.0,11.0,84.0,0.0
