,Topic Number,Contribution,Topic Keywords,Best Document,Document Tokens
0,1.0,0.8363,"triage, assessment, agreement, nurse, estimate, level, weight, kappa, accuracy, assess",16025,"['well', 'way', 'estimate', 'adult', 'patient', 'weight', 'objective', 'emergency', 'department', 'adult', 'patient', 'weight', 'often', 'crudely', 'estimate', 'lifesave', 'intervention', 'study', 'evaluate', 'reliability', 'accuracy', 'method', 'rapidly', 'calculate', 'patient', 'weight', 'use', 'readily', 'obtainable', 'anthropometric', 'measurement', 'compare', 'method', 'visual', 'estimate', 'patient', 'self', 'report', 'measure', 'weight', 'method', 'convenience_sample', 'adult', 'patient', 'academic', 'medical', 'center', 'prospectively', 'enrol', 'midarm', 'circumference', 'knee', 'height', 'measure', 'value', 'input', 'equation', 'calculate', 'patient', 'weight', 'physician', 'nurse', 'independently', 'ask', 'estimate', 'patient', 'weight', 'patient', 'ask', 'report', 'weight', 'weigh', 'calculate', 'weight', 'use', 'equation', 'visual', 'estimate', 'patient', 'report', 'compare', 'actual', 'weight', 'determine', 'percentage', 'accurate', 'intraclass_correlation_coefficient', 'use', 'determine', 'reliability', 'estimate', 'respect', 'actual', 'weight', 'result', 'weight', 'determine', 'accuracy', 'actual', 'weight', 'confidence_interval', 'calculate', 'estimate', 'physician', 'estimate', 'nurse', 'estimate', 'patient', 'estimate', 'weight', 'estimation', 'tool', 'calculate', 'weight', 'accurately', 'male', 'female', 'analysis', 'error', 'reveal', 'estimate', 'inaccurate', 'approximately', 'half', 'overestimate', 'half', 'underestimate', 'correlation_coefficient', 'calculate', 'estimate', 'actual', 'weight', 'correlation_coefficient', 'actual', 'weight', 'respect', 'physician', 'estimate', 'nurse', 'estimate', 'doctor', 'estimate', 'respectively', 'conclusion', 'technique', 'use', 'readily', 'obtainable', 'measurement', 'estimate', 'weight', 'accurately', 'provider', 'technique', 'correlate', 'well', 'actual', 'patient', 'weight', 'available', 'patient', 'estimate', 'weight', 'accurate']"
1,2.0,0.8269,"ct, abdominal, appendicitis, head, compute_tomography, ct_scan, image, diagnostic, undergo, imaging",2738,"['helical_ct', 'scanning', 'primary', 'imaging_modality', 'acute', 'flank', 'pain', 'set', 'evaluate', 'accuracy', 'nonenhanced', 'helical_computed_tomography', 'ct_scanning', 'stone', 'detection', 'patient', 'acute', 'flank', 'pain', 'mean', 'detect', 'noncalculus', 'cause', 'acute', 'flank', 'pain', 'april', 'april', 'consecutive', 'patient', 'acute', 'flank', 'pain', 'undergo', 'noncontrast', 'enhance', 'helical_ct', 'patient', 'confirmation', 'ct', 'diagnosis', 'radiographic', 'study', 'urologic', 'intervention', 'spontaneous', 'stone_passage', 'calculi', 'determine', 'presence_absence', 'urinary', 'calculi', 'well', 'presence', 'noncalculus', 'pathology', 'ct_scanning', 'reveal', 'stone', 'patient', 'stone', 'patient', 'patient', 'patient', 'positive', 'finding', 'cause', 'flank', 'pain', 'patient', 'stone', 'ct', 'confirmation', 'stone', 'disease', 'radiologic', 'surgical', 'intervention', 'eleven', 'patient', 'confirmation', 'diagnosis', 'resolution', 'symptom', 'refusal', 'intervention', 'helical', 'ct_scan', 'patient', 'demonstrate', 'abnormality', 'think', 'stone', 'free', 'ct', 'pass', 'stone', 'helical_ct', 'sensitivity_specificity', 'positive', 'predictive_value', 'negative_predictive_value', 'stone', 'detection', 'noncontrast', 'enhance', 'helical_ct', 'accurate', 'rapid', 'detect', 'calculus', 'disease', 'patient', 'acute', 'flank', 'pain', 'perhaps', 'importantly', 'provide', 'add', 'benefit', 'detect', 'noncalculus', 'cause', 'flank', 'pain', 'great', 'patient']"
2,3.0,0.8085,"case, diagnosis, symptom, acute, disease, presentation, common, history, condition, report",2079,"['reversible', 'cerebral', 'syndrome', 'present', 'subarachnoid_hemorrhage', 'rare', 'cause', 'postpartum', 'seizure', 'reversible', 'cerebral', 'syndrome', 'rcvs', 'rare', 'cerebrovascular', 'disorder', 'affect', 'large', 'medium', 'sized', 'artery', 'occur', 'commonly', 'young', 'woman', 'thunderclap', 'headache', 'usual', 'primary', 'symptom', 'seizure', 'uncommon', 'postpartum', 'period', 'seizure', 'significant', 'concern', 'main', 'cause', 'postpartum', 'seizure', 'posterior', 'reversible', 'encephalopathy', 'syndrome', 'cortical', 'venous_thrombosis', 'rcvs', 'related', 'postpartum', 'seizure', 'rare', 'rarity', 'course', 'fulminant', 'result', 'permanent', 'disability', 'death', 'diagnosis', 'delay', 'treatment', 'start', 'promptly', 'report', 'unusual', 'case', 'rcvs', 'present', 'subarachnoid_hemorrhage', 'year', 'old', 'woman', 'admit', 'postpartum', 'seizure', 'inc_right_reserve']"
3,4.0,0.7808,"mortality, admission, sepsis, outcome, death, day, severe, early, unit, intensive",9955,"['red_cell_distribution_width', 'prognostic', 'marker', 'patient', 'community_acquire_pneumonia', 'background', 'red_cell_distribution_width', 'rdw', 'associated', 'mortality', 'general', 'population', 'patient', 'certain', 'disease', 'however', 'relationship', 'rdw', 'mortality', 'patient', 'community_acquire_pneumonia_cap', 'unknown', 'objective', 'study', 'evaluate', 'association', 'rdw', 'mortality', 'patient', 'cap', 'method', 'perform', 'retrospective', 'analysis', 'prospective', 'registry', 'database', 'patient', 'cap', 'red_cell_distribution_width', 'organized', 'quartile', 'pneumonia', 'severity', 'index', 'psi', 'curb', 'calculate', 'primary', 'outcome', 'day', 'mortality', 'secondary', 'outcome', 'include', 'length', 'hospital', 'stay', 'admission', 'intensive', 'care', 'unit', 'vasopressor', 'use', 'need', 'mechanical_ventilation', 'result', 'total', 'patient', 'include', 'psi', 'curb', 'high', 'patient', 'high', 'rdw', 'multivariate_logistic_regression', 'analysis', 'identify', 'high', 'category', 'rdw', 'psi', 'curb', 'albumin', 'statistically', 'significant', 'variable', 'day', 'mortality', 'significantly', 'high', 'patient', 'high', 'rdw', 'secondary', 'outcome', 'length', 'hospital', 'stay', 'vasopressor', 'use', 'significantly', 'different', 'group', 'cox_proportional_hazard', 'regression', 'analysis', 'patient', 'high', 'category', 'rdw', 'exhibit', 'increase', 'mortality', 'adjustment', 'severity', 'scale', 'receiver_operating_characteristic', 'curve', 'demonstrate', 'improved', 'mortality', 'prediction', 'rdw', 'add', 'psi', 'curb', 'conclusion', 'red_cell_distribution_width', 'associated', 'day', 'mortality', 'length', 'hospital', 'stay', 'use', 'vasopressor', 'hospitalize', 'patient', 'cap', 'inclusion', 'rdw', 'improved', 'prognostic', 'performance', 'psi', 'curb', 'inc_right_reserve']"
4,5.0,0.5698,"child, pediatric, asthma, age, young, parent, month, acute, infant, adult",3471,"['comparison', 'peak_expiratory_flow', 'rate', 'speak', 'time', 'patient', 'present', 'acute', 'exacerbation_asthma', 'patient', 'history', 'asthma', 'present', 'emergency', 'department', 'acute', 'exacerbation', 'study', 'prospectively', 'determine', 'correlation', 'exist', 'peak_expiratory_flow', 'rate', 'pefr', 'speak', 'time', 'patient', 'listen', 'instructional', 'audiotape', 'proper', 'method', 'count', 'maximally', 'inhale', 'count', 'become', 'necessary', 'take', 'second', 'breath', 'represent', 'patient', 'speak', 'time', 'second', 'pefr', 'obtain', 'use', 'hand', 'hold', 'peak', 'flow', 'meter', 'speak', 'time', 'pefr', 'measure', 'nebulized_albuterol', 'treatment', 'total', 'pair', 'pretreatment_posttreatment', 'pefr', 'speak', 'time', 'measurement', 'obtain', 'regression', 'analysis', 'pefr', 'speak', 'time', 'demonstrate', 'pefr', 'predict', 'speak', 'time', 'statistical_significance', 'regression', 'analysis', 'equation', 'peak', 'flow', 'min', 'speak', 'time']"
5,6.0,0.7409,"survey, report, provider, satisfaction, participant, response, respondent, question, practice, regard",9072,"['patient', 'attitude', 'regard', 'consent', 'emergency', 'department', 'compute_tomography', 'introduction', 'little_known', 'patient', 'attitude', 'inform_consent', 'compute_tomography', 'ct', 'emergency', 'department', 'set', 'determine', 'patient', 'attitude', 'provide', 'inform_consent', 'ct', 'method', 'cross_sectional', 'questionnaire', 'base', 'survey', 'study', 'evaluate', 'convenience_sample', 'patient', 'attitude', 'provide', 'inform_consent', 'ct', 'institutional', 'site', 'historically', 'institutional', 'network', 'patient', 'receive', 'approximately', 'visit', 'survey', 'consist', 'multiple', 'choice', 'question', 'primary', 'outcome', 'question', 'type', 'inform_consent', 'feel', 'appropriate', 'ct', 'emergency', 'department', 'result', 'analyze', 'survey', 'response', 'represent', 'return', 'rate', 'survey', 'distribute', 'percent', 'think', 'give', 'consent', 'prior', 'receive', 'ct', 'comfortable', 'comfortable', 'physician', 'make', 'decision', 'regard', 'need', 'forty', 'percent', 'patient', 'feel', 'general', 'consent', 'appropriate', 'receive', 'ed', 'think', 'verbal', 'consent', 'appropriate', 'percent', 'think', 'write', 'consent', 'appropriate', 'percent', 'patient', 'expect', 'receive', 'visit', 'patient', 'previously', 'provide', 'consent', 'prior', 'receive', 'ct', 'conclusion', 'patient', 'feel_comfortable', 'let', 'doctor', 'make', 'decision', 'regard', 'need', 'ed', 'patient', 'feel', 'inform_consent', 'occur', 'receive', 'ct', 'minority', 'feel', 'consent', 'write', 'specific', 'test']"
6,7.0,0.7776,"drug, overdose, exposure, poisoning, case, ingestion, hour, poison, toxicity, cocaine",7376,"['transit', 'time', 'cathartic', 'combine', 'charcoal', 'oral', 'activate_charcoal', 'usually', 'administer', 'toxic_ingestion', 'cathartic', 'study', 'do', 'volunteer', 'determine', 'rapidity', 'transit', 'activate_charcoal', 'administer', 'various', 'cathartic', 'control', 'activate_charcoal', 'compare', 'transit', 'time', 'activate_charcoal', 'cathartic', 'magnesium_citrate', 'magnesium_sulfate', 'sorbitol', 'activate_charcoal', 'alone', 'produce', 'mean', 'transit', 'time', 'hour', 'magnesium_citrate', 'catharsis', 'occur', 'hour', 'magnesium_sulfate', 'catharsis', 'occur', 'hour', 'sorbitol', 'catharsis', 'occur', 'hour', 'sorbitol', 'clearly', 'rapidly', 'act', 'cathartic']"
7,8.0,0.9104,"alcohol, report, psychiatric, screen, related, victim, violence, risk, abuse, depression",8492,"['correlation', 'intimate_partner_violence', 'victimization', 'risk', 'substance_abuse', 'depression', 'african_american', 'woman', 'urban', 'emergency', 'department', 'objective', 'assess', 'rate', 'substance_abuse', 'include', 'tobacco', 'alcohol', 'drug', 'abuse', 'well', 'rate', 'intimate_partner_violence', 'ipv', 'african_american', 'woman', 'see', 'urban', 'emergency', 'department', 'method', 'eligible', 'participant', 'include', 'african_american', 'woman', 'age', 'year', 'old', 'see', 'urban', 'complaint', 'triage', 'wait_room', 'eligible', 'woman', 'consent', 'participate', 'complete', 'computer', 'base', 'survey', 'focus', 'demographic', 'information', 'general', 'health', 'question', 'well', 'standardized', 'instrument', 'screen', 'alcohol', 'abuse', 'tobacco', 'abuse', 'illicit_drug', 'use', 'analysis', 'use', 'result', 'large', 'study', 'evaluating', 'effect', 'provide', 'patient', 'target', 'educational', 'literature', 'base', 'result', 'screen', 'result', 'woman', 'survey', 'woman', 'report', 'relationship', 'past', 'year', 'woman', 'screen', 'positive', 'ipv', 'woman', 'screen', 'positive', 'ipv', 'significantly', 'likely', 'also', 'screen', 'positive', 'tobacco', 'abuse', 'alcohol', 'abuse', 'drug', 'abuse', 'woman', 'screen', 'positive', 'ipv', 'also', 'likely', 'screen', 'positive', 'depression', 'report', 'social', 'isolation', 'conclusion', 'african_american', 'woman', 'see', 'screen', 'positive', 'ipv', 'significantly', 'high', 'risk', 'drug', 'alcohol', 'tobacco', 'abuse', 'depression', 'social', 'isolation', 'woman', 'screen', 'positive', 'ipv', 'finding', 'important', 'implication', 'base', 'community', 'base', 'social', 'service', 'woman', 'victim', 'intimate_partner_violence']"
8,9.0,0.8296,"medication, opioid, sedation, prescription, receive, ketamine, drug, dose, adverse_event, administration",9423,"['safety', 'efficacy', 'intravenous', 'combination', 'sedative', 'objective', 'objective', 'study', 'determine', 'safety', 'intravenously', 'administer', 'combination', 'sedative', 'emergency', 'department', 'method', 'retrospective', 'study', 'alcohol', 'intoxicate', 'patient', 'examine', 'incidence', 'adverse_event', 'agitated', 'patient', 'receive', 'combination', 'sedative', 'intravenously', 'compare', 'efficacy', 'combination', 'sedative', 'single', 'agent', 'sedative', 'result', 'patient', 'visit', 'single', 'adverse_event', 'dystonic', 'reaction', 'combination', 'sedative', 'group', 'adverse_event', 'rate', 'less', 'patient', 'receive', 'combination', 'sedative', 'less', 'likely', 'require', 'second', 'dose', 'sedative', 'medication', 'patient', 'receive', 'single', 'agent', 'sedative', 'conclusion', 'combination', 'sedative', 'appear', 'safe', 'administer', 'intravenously', 'combination', 'sedative', 'effective', 'single', 'agent', 'sedative', 'agitated', 'alcohol', 'intoxicated', 'patient']"
9,10.0,0.8333,"antibiotic, infection, culture, blood, pneumonia, positive, abscess, bacteremia, fever, therapy",6237,"['aerobic_anaerobic', 'microbiology', 'paronychia', 'pus', 'specimen', 'patient', 'paronychia', 'finger', 'yield', 'bacterial', 'growth', 'technique', 'cultivation', 'aerobic_anaerobic', 'bacteria', 'anaerobic', 'aerobic', 'organism', 'isolate', 'pure', 'culture', 'patient', 'respectively', 'mixed', 'aerobic_anaerobic', 'flora', 'present', 'patient', 'isolate', 'recover', 'isolate', 'specimen', 'predominant', 'anaerobic', 'organism', 'gram', 'positive', 'anaerobic', 'coccus', 'bacteroide', 'specie', 'fusobacterium', 'specie', 'predominant', 'aerobic', 'organism', 'gamma', 'hemolytic', 'streptococcus', 'eikenella', 'corrodens', 'group', 'beta_hemolytic', 'streptococcus', 'alpha', 'hemolytic', 'streptococcus', 'klebsiella', 'candida', 'albican', 'recover', 'case', 'study', 'demonstrate', 'mixed', 'aerobic_anaerobic', 'bacteriology', 'paronychia']"
10,11.0,0.9386,"medicine, program, resident, residency, training, academic, faculty, survey, train, specialty",11200,"['endowed', 'faculty', 'position', 'academic', 'emergency', 'medicine', 'year', 'later', 'background', 'examine', 'number', 'endowed', 'faculty', 'position', 'chair', 'professorship', 'academic', 'department', 'emergency', 'medicine', 'adem', 'unite_state', 'objective', 'survey', 'adem', 'united_state', 'concern', 'number', 'endowed', 'faculty', 'position', 'compare', 'result', 'study', 'method', 'survey', 'send', 'chair', 'adem', 'unite_state', 'belong', 'association', 'academic', 'chair', 'emergency', 'medicine', 'request', 'information', 'number', 'endowed_chair', 'professorship', 'position', 'amount', 'require', 'fund', 'date', 'established', 'source', 'funding', 'future', 'plan', 'result', 'chair', 'respond', 'response', 'rate', 'chair', 'report', 'endowed_chair', 'position', 'chair', 'report', 'position', 'chair', 'report', 'chair', 'position', 'total', 'adem', 'report', 'endowed_chair', 'position', 'endowed', 'professorship', 'chair', 'report', 'professorship', 'chair', 'report', 'position', 'total', 'adem', 'report', 'endowed', 'professorship', 'adem', 'report', 'total', 'position', 'typical', 'amount', 'allow', 'spend', 'value', 'endowment', 'annually', 'average', 'amount', 'necessary', 'fund', 'endowed_chair', 'position', 'endowed', 'professorship', 'conclusion', 'percent', 'adem', 'endowed', 'faculty', 'position', 'nearly', 'threefold', 'increase', 'number', 'endowed', 'faculty', 'position', 'past', 'year', 'inc_right_reserve']"
11,12.0,0.8823,"minute, animal, model, epinephrine, effect, control, rat, infusion, dose, hour",6791,"['mechanism', 'action', 'pge', 'hemorrhagic_shock', 'rat', 'study', 'effect', 'prostaglandin', 'pge', 'severe', 'model', 'hemorrhagic_shock', 'rat', 'pge', 'administer', 'continuous', 'iv', 'infusion', 'microgram_kg', 'min', 'microgram_kg', 'min', 'start', 'minute', 'onset', 'bleed', 'continue', 'hour', 'reinfusion', 'hemorrhaged', 'rat', 'treat', 'pge', 'microgram_kg', 'min', 'maintain', 'post', 'reinfusion', 'mean', 'arterial', 'blood', 'pressure', 'mabp', 'significantly', 'high', 'value', 'rat', 'receive', 'vehicle', 'nacl', 'final', 'mabp', 'mm', 'less', 'pge', 'microgram_kg', 'min', 'also', 'attenuate', 'increase', 'plasma', 'activity', 'cathepsin', 'less', 'dose', 'blunt', 'plasma', 'accumulation', 'free', 'amino', 'nitrogen', 'compound', 'less', 'microgram_kg', 'min', 'less', 'microgram_kg', 'min', 'furthermore', 'plasma', 'activity', 'myocardial', 'depressant', 'factor', 'mdf', 'significantly', 'low', 'rat', 'treat', 'pge', 'microgram_kg', 'min', 'rat', 'receive', 'vehicle', 'ml', 'ml', 'less', 'rat', 'receive', 'pge', 'microgram_kg', 'min', 'also', 'exhibit', 'significantly', 'increase', 'survival', 'rate', 'less', 'post', 'reinfusion', 'survival', 'time', 'less', 'compare', 'rat', 'receive', 'vehicle', 'datum', 'suggest', 'antiproteolytic', 'membrane', 'stabilizing', 'action', 'pge', 'important', 'contribute', 'beneficial', 'effect', 'hemorrhagic_shock', 'mechanism', 'inhibition', 'platelet_aggregation', 'vasodilation', 'also', 'involve']"
12,13.0,0.907,"ems, transport, prehospital, service, paramedic, ambulance, system, call, scene, response",6308,"['characteristic', 'midsized', 'urban', 'ems', 'system', 'emergency', 'medical', 'service', 'ems', 'system', 'midsize', 'city', 'population', 'describe', 'information', 'describe', 'ems', 'system', 'configuration', 'performance', 'collect', 'write', 'telephone', 'survey', 'follow', 'up', 'respond', 'city', 'provide', 'tier', 'system', 'tier', 'system', 'advanced_life_support', 'al', 'unit', 'respond', 'transport', 'patient', 'use', 'activate', 'system', 'type', 'tier', 'system', 'identify', 'system', 'al', 'unit', 'respond', 'call', 'scene', 'al', 'unit', 'turn', 'patient', 'basic_life_support', 'bls', 'unit', 'transport', 'system', 'al', 'unit', 'respond', 'call', 'bls', 'unit', 'send', 'noncritical', 'call', 'system', 'nontransport', 'al', 'unit', 'dispatch', 'transport', 'bls', 'unit', 'al', 'call', 'al', 'personnel', 'join', 'bls', 'personnel', 'transport', 'overall', 'city', 'staff', 'average', 'ambulance', 'population', 'tier', 'system', 'average', 'ambulance', 'compare', 'tier', 'system', 'average', 'ambulance', 'tiered', 'system', 'average', 'al', 'unit', 'serve', 'population', 'city', 'use', 'tier', 'system', 'al', 'unit', 'serve', 'less', 'overall', 'code', 'response', 'time', 'city', 'average', 'minute', 'average', 'response', 'time', 'tier', 'system', 'minute', 'minute', 'tier', 'system', 'less', 'less', 'datum', 'suggest', 'tiered', 'system', 'allow', 'give', 'number', 'al', 'unit', 'serve', 'much', 'large', 'population', 'maintain', 'rapid', 'code', 'response', 'time']"
13,14.0,0.8108,"center, transfer, receive, trauma, require, major, review, complication, bleeding, retrospective",1966,"['comparison', 'safety', 'efficacy', 'factor', 'factor', 'prothrombin_complex_concentrate', 'reversal_warfarin', 'purpose', 'prior', 'food', 'drug', 'administration', 'approval', 'factor', 'prothrombin_complex_concentrate_pcc', 'factor', 'pcc_pcc', 'product', 'available', 'limited', 'datum', 'compare', 'safety', 'efficacy', 'pcc_pcc', 'purpose', 'study', 'therefore', 'compare', 'safety', 'efficacy', 'profile', 'pcc_pcc', 'emergent', 'reversal_warfarin', 'method', 'single', 'center', 'retrospective', 'cohort', 'analysis', 'compare', 'patient', 'receive', 'pcc_pcc', 'emergent', 'reversal_warfarin', 'due', 'life', 'threate', 'bleed', 'january', 'september', 'primary', 'objective', 'study', 'percentage', 'patient', 'international_normalize_ratio', 'inr', 'reverse', 'pcc', 'administration', 'secondary', 'safety', 'objective', 'incidence', 'thromboembolic_event', 'day', 'pcc', 'result', 'total', 'patient', 'include', 'median', 'baseline', 'inr', 'pcc', 'group', 'pcc', 'group', 'median', 'post', 'pcc', 'inr', 'pcc', 'group', 'pcc', 'group', 'inr', 'achieve', 'patient', 'pcc', 'group', 'patient', 'pcc', 'group', 'thromboembolic_event', 'rate', 'group', 'day', 'similar', 'pcc_pcc', 'conclusion', 'significant', 'difference', 'percentage', 'patient', 'achieve', 'inr', 'pcc_pcc', 'group', 'emergent', 'reversal_warfarin', 'inc_right_reserve']"
14,15.0,0.8351,"review, record, error, report, case, identify, chart, information, electronic, system",4793,"['completeness', 'medline', 'paper', 'publish', 'abstract', 'journal', 'emergency', 'medicine', 'purpose', 'paper', 'assess', 'medline', 'common', 'source', 'review', 'medical', 'literature', 'complete', 'regard', 'reference', 'paper', 'publish', 'abstract', 'journal', 'emergency', 'medicine', 'jem', 'year', 'period', 'time', 'abstract', 'original', 'contribution', 'include', 'jem', 'paper', 'review', 'classify', 'review', 'subject', 'case', 'report', 'review', 'literature', 'editorial', 'prospective', 'retrospective', 'original', 'research', 'result', 'show', 'original', 'work', 'publish', 'jem', 'abstract', 'reference', 'jem', 'find', 'medline', 'thus', 'support', 'hypothesis', 'medline', 'complete', 'thorough', 'database', 'current', 'literature']"
