,Topic Number,Contribution,Topic Keywords,Best Document,Document Tokens
15,16.0,0.6759,"intervention, control, change, increase, decrease, month, effect, period, improve, implementation",8473,"['eliminate', 'amylase', 'testing', 'evaluation', 'pancreatitis', 'emergency', 'department', 'background', 'alteration', 'serum', 'biomarker', 'use', 'evaluate', 'pancreatitis', 'emergency', 'department', 'study', 'show', 'lipase', 'sensitive', 'specific', 'amylase', 'diagnose', 'pancreatitis', 'amylase', 'lipase', 'improve', 'accuracy', 'lipase', 'alone', 'objective', 'determine', 'effect', 'intervention', 'decrease', 'ordering', 'amylase', 'evaluation', 'pancreatitis', 'method', 'conduct', 'pre_post', 'cohort', 'study', 'number', 'amylase', 'lipase', 'test', 'order', 'record', 'prior', 'intervention', 'establish', 'baseline', 'introduce', 'educational', 'intervention', 'order', 'lipase', 'amylase', 'second', 'intervention', 'involve', 'remove', 'amylase', 'bedside', 'order_entry', 'form', 'introduce', 'third', 'intervention', 'include', 'delete', 'amylase', 'trauma', 'order', 'form', 'decouple', 'amylase', 'lipase', 'computer', 'ordering', 'system', 'record', 'number', 'lipase', 'amylase', 'test', 'weekly', 'aggregate', 'comparison', 'baseline', 'datum', 'analysis', 'use', 'student', 'test', 'standard_deviation', 'value', 'report', 'result', 'intervention', 'patient', 'test', 'order', 'educational', 'intervention', 'result', 'decrease', 'ordering', 'intervention', 'decrease', 'percentage', 'patient', 'evaluate', 'test', 'translate', 'decrease', 'patient', 'charge', 'approximately', 'year', 'conclusion', 'use', 'simple', 'structured', 'intervention', 'reduce', 'amylase', 'order', 'educational', 'programming', 'alone', 'effective', 'significantly', 'decrease', 'amylase', 'order', 'however', 'education', 'system', 'base', 'intervention', 'decrease', 'amylase', 'order']"
16,17.0,0.7196,"discharge, day, follow, admission, visit, outcome, return, admit, month, home",11653,"['postdischarge', 'adverse_event', 'day', 'hospital', 'admission', 'old', 'adult', 'admit', 'emergency', 'department', 'study', 'objective', 'assess', 'hospital', 'readmission', 'death', 'day', 'old', 'adult', 'admit', 'emergency', 'department', 'discharge', 'inpatient', 'service', 'hour', 'method', 'retrospective', 'review', 'patient', 'aged', 'year', 'old', 'admit', 'hospital', 'discharge', 'home', 'hour', 'exclude', 'hospital', 'death', 'observation', 'admission', 'transfer', 'facility', 'patient', 'leave', 'medical', 'advice', 'hospice', 'patient', 'outcome', 'hour', 'day', 'readmission', 'postdischarge', 'death', 'occur', 'day', 'admission', 'logistic_regression', 'use', 'assess', 'predictor', 'readmission', 'chart', 'review', 'death', 'discharge', 'perform', 'assess', 'potential', 'contributor', 'adverse', 'outcome', 'result', 'total', 'admission', 'meet_inclusion_criterion', 'day', 'admission', 'patient', 'return', 'hospital', 'readmission', 'hour', 'day', 'discharge', 'multivariable', 'analysis', 'previous', 'admission', 'odd_ratio', 'confidence_interval', 'ci', 'admission', 'diagnosis', 'heart_failure', 'ci', 'associate', 'day', 'readmission', 'individual', 'patient', 'great', 'equal', 'day', 'admission', 'death', 'day', 'patient', 'abnormal', 'ecg', 'result', 'rule', 'acute', 'myocardial_infarction', 'hospitalize', 'definitive', 'follow', 'arrange', 'discharge', 'conclusion', 'day', 'admission', 'hospitalize', 'old', 'adult', 'represent', 'group', 'low', 'risk', 'postdischarge', 'adverse', 'outcome', 'publish_inc']"
17,18.0,0.8049,"health, system, event, public, staff, disaster, service, provide, response, country",7005,"['catastrophic', 'disaster', 'design', 'disaster', 'medical', 'care', 'system', 'national', 'disaster', 'medical', 'system', 'ndms', 'aimed', 'medical', 'care', 'need', 'result', 'catastrophic', 'earthquake', 'cause', 'thousand', 'death', 'injury', 'geophysical', 'event', 'cause', 'great', 'mortality', 'leave', 'injure', 'survivor', 'weather', 'incident', 'technological', 'disaster', 'common', 'mass_casualty_incident', 'cause', 'much', 'less', 'mortality', 'morbidity', 'catastrophic', 'disaster', 'overwhelm', 'local', 'medical', 'care', 'system', 'supplemental', 'care', 'provide', 'disaster', 'relief', 'force', 'care', 'adapt', 'prevalent', 'type', 'injury', 'care', 'provide', 'disaster', 'scene', 'supplemental', 'medical', 'facility', 'provide', 'evacuate', 'patient', 'distant', 'hospital', 'medical', 'response', 'team', 'capable', 'stabilize', 'sort', 'holding', 'victim', 'staff', 'supplemental', 'medical', 'facility', 'ndms', 'program', 'include', 'hospital', 'facility', 'evacuation', 'asset', 'medical', 'response', 'team', 'structure', 'capabilitie', 'element', 'determine', 'medical', 'care', 'need', 'catastrophic', 'disaster', 'situation']"
18,19.0,0.6667,"treatment, cost, management, stroke, guideline, acute, therapy, treat, strategy, risk",9982,"['model', 'cost', 'effectiveness', 'tissue_plasminogen_activator', 'patient', 'subgroup', 'hour', 'onset', 'acute', 'ischemic_stroke', 'study', 'objective', 'european', 'cooperative', 'acute', 'stroke', 'study', 'ecass', 'show', 'recombinant_tissue_plasminogen_activator', 'rtpa', 'administer', 'hour', 'acute', 'ischemic_stroke', 'lead', 'improvement', 'patient', 'disability', 'placebo', 'evaluate', 'long_term', 'incremental', 'cost', 'effectiveness', 'rtpa', 'administer', 'hour', 'acute', 'ischemic_stroke', 'onset', 'treatment', 'accord', 'patient', 'clinical', 'demographic', 'factor', 'method', 'develop', 'disease', 'based', 'decision', 'analytic', 'model', 'project', 'lifetime', 'outcome', 'patient', 'acute', 'ischemic_stroke', 'payer', 'perspective', 'clinical', 'datum', 'derive', 'ecass', 'trial', 'longitudinal', 'cohort', 'study', 'health', 'state', 'preference', 'study', 'cost', 'datum', 'base', 'medicare', 'reimbursement', 'publish', 'source', 'perform', 'probabilistic', 'sensitivity', 'analysis', 'evaluate', 'uncertainty', 'analysis', 'result', 'rtpa', 'hypothetical', 'cohort', 'result', 'gain', 'year', 'life', 'credible', 'range', 'quality', 'adjust', 'life', 'year', 'credible', 'range', 'difference', 'cost', 'credible', 'range', 'compare', 'placebo', 'incremental', 'cost', 'effectiveness', 'ratio', 'patient', 'quality', 'adjust', 'life', 'year', 'gain', 'patient', 'young', 'year', 'cost', 'save', 'patient', 'aged', 'year', 'old', 'quality', 'adjust', 'life', 'year', 'patient', 'baseline', 'national_institute', 'health', 'stroke', 'scale', 'nihss', 'score', 'quality', 'adjust', 'life', 'year', 'patient', 'nihss', 'score', 'quality', 'adjust', 'life', 'year', 'patient', 'nihss', 'score', 'greater_equal', 'quality', 'adjust', 'life', 'year', 'majority', 'subgroup', 'sex', 'history', 'stroke', 'history', 'hypertension', 'cost_saving', 'cost', 'effective', 'exception', 'diabete', 'atrial_fibrillation', 'conclusion', 'result', 'indicate', 'rtpa', 'hour', 'therapeutic', 'window', 'provide', 'improvement', 'long_term', 'patient', 'outcome', 'patient', 'subgroup', 'good', 'economic', 'value', 'treatment', 'publish_mosby_inc']"
19,20.0,0.6806,"ci, sensitivity, rule, criterion, risk, identify, confidence_interval, decision, low, specificity",12524,"['acute', 'care', 'diagnostic', 'collaboration', 'bayesian', 'model', 'comparative', 'diagnostic', 'assessment', 'lactate', 'procalcitonin', 'crp', 'risk', 'stratified', 'population', 'mortality', 'med', 'score', 'objective', 'assess', 'compare', 'diagnostic', 'value', 'lactate', 'procalcitonin_pct', 'reactive_protein_crp', 'low', 'moderate', 'high', 'risk', 'stratified', 'population', 'applying', 'mortality', 'emergency', 'department', 'med', 'risk', 'score', 'use', 'bayesian', 'statistical', 'modeling', 'method', 'med', 'criterion', 'use', 'risk', 'stratify', 'low', 'moderate', 'high', 'risk', 'population', 'attribute', 'percentage', 'risk', 'use', 'pre', 'test', 'probability', 'bayesian', 'nomogram', 'sensitivity_specificity', 'lactate', 'pct', 'crp', 'attain', 'pooled', 'meta_analysis', 'datum', 'absolute', 'relative', 'diagnostic', 'gain', 'calculate', 'result', 'pooled', 'diagnostic', 'quality', 'datum', 'obtain', 'meta_analysis', 'reflect', 'sensitivity', 'pct', 'specificity', 'lactate', 'sensitivity_specificity', 'crp', 'yield', 'sensitivity_specificity', 'likelihood_ratio_lr', 'calculation', 'pct', 'lr_lr', 'lactate', 'lr_lr', 'crp', 'lr_lr', 'computed', 'bayesian', 'nomogram', 'post', 'test', 'probability', 'lr', 'follow', 'pct', 'low', 'risk', 'absolute', 'gain', 'relative', 'gain', 'moderate', 'absolute', 'gain', 'relative', 'gain', 'high', 'risk', 'absolute', 'gain', 'relative', 'gain', 'lactate', 'lr', 'result', 'low', 'risk', 'absolute', 'gain', 'relative', 'gain', 'moderate', 'absolute', 'gain', 'relative', 'gain', 'high', 'risk', 'relative', 'gain', 'relative', 'gain', 'crp', 'result', 'low', 'population', 'lr', 'absolute', 'gain', 'relative', 'gain', 'moderate', 'risk', 'absolute', 'gain', 'relative', 'gain', 'high', 'risk', 'post', 'test', 'absolute', 'gain', 'relative', 'gain', 'conclusion', 'bayesian', 'statistical', 'model', 'demonstrate', 'superior', 'diagnostic', 'quality', 'pct', 'rule', 'severe', 'disease', 'lactate', 'yield', 'high', 'benefit', 'increase', 'relative', 'gain', 'negative', 'lr', 'inc_right_reserve']"
20,21.0,0.7953,"test, testing, hiv, screen, positive, laboratory, screening, rapid, risk, woman",10831,"['screen', 'urban', 'emergency', 'department', 'comparison', 'screening', 'use', 'opt', 'opt', 'approach', 'objective', 'compare', 'outcome', 'opt', 'opt', 'screening', 'approach', 'urban', 'emergency', 'department', 'method', 'year', 'prospective_observational', 'study', 'compare', 'month', 'screening', 'approach', 'eligibility', 'opt', 'opt', 'screen', 'identical', 'aged', 'year', 'old', 'medically_stable', 'able', 'complete', 'general', 'consent', 'opt', 'phase', 'triage', 'nurse', 'refer', 'patient', 'hiv', 'tester', 'station', 'triage', 'obtain', 'separate', 'opt', 'write', 'consent', 'perform', 'rapid', 'oral', 'fluid', 'test', 'opt', 'phase', 'registration', 'staff', 'conduct', 'integrate', 'opt', 'consent', 'refer', 'patient', 'hiv', 'tester', 'assess', 'proportion', 'potentially', 'eligible', 'patient', 'offer', 'screen', 'screen', 'offer', 'rate', 'proportion', 'offer', 'screening', 'accept', 'screen', 'acceptance', 'rate', 'proportion', 'accept', 'screen', 'subsequently', 'complete', 'testing', 'test', 'completion', 'rate', 'proportion', 'potentially', 'eligible', 'patient', 'complete', 'test', 'overall', 'screening', 'rate', 'phase', 'result', 'opt', 'opt', 'phase', 'respectively', 'potentially', 'eligible', 'patient', 'screen', 'offer', 'rate', 'screen', 'acceptance', 'rate', 'test', 'completion', 'rate', 'overall', 'screening', 'rate', 'conclusion', 'significantly', 'high', 'proportion', 'patient', 'offer', 'hiv', 'screen', 'opt', 'approach', 'registration', 'however', 'offset', 'much', 'high', 'screening', 'acceptance', 'test', 'completion', 'rate', 'opt', 'approach', 'triage', 'overall', 'screening', 'rate', 'approach', 'nearly', 'identical', 'publish_mosby_inc']"
21,22.0,0.8414,"hour, minute, median, length_stay, los, day, iqr, min, delay, increase",15905,"['emergency', 'department', 'patient', 'stay', 'hour', 'contribute', 'crowd', 'background', 'admit', 'discharge', 'patient', 'prolonged', 'emergency', 'department', 'stay', 'contribute', 'crowd', 'utilize', 'bed', 'staff', 'time', 'otherwise', 'use', 'new', 'patient', 'objective', 'describe', 'patient', 'stay', 'determine', 'association', 'measure', 'crowd', 'method', 'retrospective', 'observational', 'study', 'carry', 'year', 'single', 'urban', 'academic', 'ed', 'result', 'patient', 'see', 'stay', 'admit', 'least', 'patient', 'stay', 'time', 'least', 'additional', 'patient', 'wait_room', 'placed', 'bed', 'none', 'open', 'walk', 'rate', 'patient', 'hour', 'patient', 'stay', 'patient', 'hour', 'walk', 'patient', 'stay', 'ed', 'contain', 'patient', 'stay', 'trend', 'note', 'increase', 'number', 'patient', 'stay', 'percentage', 'time', 'ambulance_diversion', 'conclusion', 'admit', 'discharge', 'patient', 'stay', 'associate', 'crowd', 'inc_right_reserve']"
22,23.0,0.9059,"visit, increase, ed, health, utilization, population, national, related, cost, number",12363,"['compare', 'utilization', 'cost', 'care', 'freestande', 'emergency', 'department', 'hospital', 'emergency', 'department', 'urgent', 'care', 'center', 'study', 'objective', 'compare', 'utilization', 'price', 'visit', 'type', 'care', 'deliver', 'freestande', 'emergency', 'department', 'hospital', 'base', 'urgent', 'care', 'center', 'texa', 'method', 'analyze', 'insurance', 'claim', 'process', 'blue', 'cross', 'blue', 'shield', 'texas', 'patient', 'visit', 'freestande', 'hospital', 'base', 'urgent', 'care', 'center', 'texa', 'metropolitan', 'statistical', 'area', 'contain', 'state', 'population', 'calculate', 'aggregate', 'number', 'visit', 'average', 'price', 'visit', 'proportion', 'price', 'attributable', 'facility', 'physician', 'service', 'proportion', 'price', 'bill', 'blue', 'cross', 'blue', 'shield', 'texas', 'pocket', 'facility', 'type', 'price', 'top', 'diagnosis', 'procedure', 'facility', 'type', 'compare', 'result', 'texan', 'use', 'hospital', 'base', 'urgent', 'care', 'center', 'much', 'freestande', 'freestande', 'utilization', 'increase', 'average', 'price', 'visit', 'low', 'freestande', 'ed', 'hospital', 'base', 'price', 'comparable', 'price', 'urgent', 'care', 'center', 'pocket', 'liability', 'consumer', 'facility', 'increase', 'slightly', 'overlap', 'common', 'diagnosis', 'freestande', 'ed', 'urgent', 'care', 'center', 'overlap', 'hospital', 'base', 'urgent', 'care', 'center', 'however', 'price', 'patient', 'diagnosis', 'average', 'almost', 'time', 'high', 'freestande', 'hospital', 'base', 'relative', 'urgent', 'care', 'center', 'conclusion', 'utilization', 'freestande', 'eds', 'rapidly', 'expand', 'texa', 'high', 'price', 'freestande', 'hospital', 'base', 'relative', 'urgent', 'care', 'center', 'substantial', 'overlap', 'service', 'deliver', 'imply', 'potential', 'inefficient', 'use', 'emergency', 'facility', 'american_college', 'emergency', 'physician', 'publish', 'inc_right_reserve']"
23,24.0,0.8816,"placement, ultrasound, iv, catheter, guide, access, attempt, procedure, needle, technique",15884,"['ultrasound', 'guide', 'peripheral', 'intravenous', 'access', 'emergency', 'department', 'use', 'modify_seldinger_technique', 'background', 'utility', 'ultrasound', 'guide', 'peripheral', 'intravenous', 'access', 'usgpiv', 'well', 'describe', 'however', 'study', 'investigate', 'usgpiv', 'technique', 'objective', 'describe', 'modify_seldinger_technique', 'usgpiv', 'method', 'emergency', 'department', 'patient', 'difficult', 'access', 'fail', 'landmark', 'attempt', 'prospectively', 'enrol', 'usgpiv', 'attempt', 'use', 'modify_seldinger_technique', 'gauge', 'cm', 'catheter', 'integral', 'wire', 'use', 'procedure', 'basilic_vein', 'identify', 'use', 'high', 'frequency', 'linear', 'probe', 'mhz', 'needle', 'insert', 'vein', 'dynamic', 'guidance', 'short_axis', 'cannula', 'advanced', 'wire', 'time', 'skin', 'puncture', 'catheter', 'insertion', 'number', 'needle_stick', 'overall', 'procedure', 'time', 'record', 'result', 'patient', 'enrol', 'undergo', 'usgpiv', 'success', 'rate', 'mean', 'number', 'needle_stick', 'confidence_interval', 'median', 'time', 'skin', 'catheter', 'insertion', 'sd', 'median', 'total', 'procedure', 'time', 'min', 'sd', 'min', 'conclusion', 'modify_seldinger_technique', 'effective', 'method', 'usgpiv', 'worthy', 'prospective', 'comparison', 'non', 'seldinger_technique', 'inc_right_reserve']"
24,25.0,0.9127,"wound, burn, laceration, skin, infection, suture, eye, foreign_body, anesthesia, day",2946,"['treatment', 'contaminate', 'partial_thickness_burn', 'swine', 'randomize', 'control', 'experiment', 'objective', 'compare', 'infection', 'rate', 'contaminate', 'second', 'degree', 'burn', 'treat', 'oca', 'silver_sulfadiazine', 'ssd', 'polyurethane', 'pu', 'film', 'dry_gauze', 'control', 'swine', 'method', 'standardized', 'burn', 'create', 'apply', 'aluminum', 'bar', 'preheated', 'degree', 'back', 'flank', 'young', 'pig', 'second', 'burn', 'immediately', 'contaminate', 'ml', 'ml', 'randomly', 'treat', 'oca', 'spray', 'ssd_pu', 'dry_gauze', 'full_thickness_biopsy', 'take', 'day', 'blind', 'histopathologic', 'evaluation', 'use', 'hematoxylin_eosin', 'stain', 'slide', 'burn', 'consider', 'infected', 'presence', 'interstitial', 'reticular', 'dermal', 'neutrophil', 'contain', 'bacteria', 'intraobserver_agreement', 'kappa', 'quantitative', 'wound', 'culture', 'perform', 'second', 'day', 'specimen', 'result', 'day', 'wound', 'infection', 'rate', 'oca', 'ssd_pu', 'kruskal', 'test', 'day', 'infection', 'rate', 'oca', 'ssd_pu', 'median', 'bacterial_count', 'day', 'oca', 'ssd', 'proportion', 'completely', 'wound', 'day', 'oca', 'ssd_pu', 'conclusion', 'treatment', 'contaminate', 'partial_thickness_burn', 'oca', 'spray', 'result', 'few', 'infection', 'week', 'treatment']"
25,26.0,0.7764,"chest, pain, cardiac, acute, ecg, myocardial_infarction, risk, troponin, acs, stemi",2998,"['delta', 'ck_mb', 'outperform', 'delta', 'troponin', 'hour', 'rule', 'acute', 'myocardial_infarction', 'show', 'rise', 'creatine_kinase_mb', 'bank', 'ck_mb', 'ng_ml', 'hour', 'sensitive', 'equally', 'specific', 'detection', 'acute', 'myocardial_infarction', 'compare', 'hour', 'ck_mb', 'ng_ml', 'emergency', 'department', 'evaluation', 'chest', 'pain', 'cardiac', 'specific', 'troponin_ctni', 'think', 'similar', 'early', 'release', 'kinetic', 'compare', 'ck_mb_mass', 'undertake', 'retrospective', 'cohort', 'study', 'ch', 'pain', 'patient', 'baseline', 'ck_mb', 'ctni', 'less', 'time', 'hospital', 'upper', 'limit', 'normal', 'undergo', 'hour', 'ck', 'compare', 'sensitivity_specificity', 'hour', 'delta', 'ck_mb', 'deltack_mb', 'delta', 'ctni', 'delta', 'ctni', 'ami', 'day', 'adverse', 'outcome', 'day', 'define', 'ami', 'life_threaten', 'complication', 'death', 'percutaneous_transluminal_coronary', 'angioplasty', 'ptca', 'coronary_artery_bypass_graft', 'cabg', 'day', 'presentation', 'optimum', 'delta', 'value', 'determine', 'choose', 'small', 'cutoff', 'value', 'great', 'assay', 'precision', 'deltack_mb', 'delta', 'ctni', 'positive', 'likelihood_ratio', 'day', 'deltack_mb', 'ng_ml', 'sensitive', 'deltatni', 'ng_ml', 'ami', 'day', 'difference', 'specificity', 'ami', 'day', 'combine', 'test', 'mbdelta', 'ng_ml', 'deltatni', 'ng_ml', 'result', 'incremental', 'increase', 'sensitivity', 'ao', 'patient', 'rise', 'ck_mb', 'ng_ml', 'rise', 'ctni', 'ng_ml', 'hour', 'receive', 'consideration', 'aggressive', 'antiischemic', 'therapy', 'diagnostic', 'testing', 'make', 'exclusionary', 'diagnosis', 'nonischemic', 'chest', 'pain']"
26,27.0,0.8393,"degree, subject, temperature, volunteer, mm, measurement, measure, cm, fluid, difference",2129,"['tarp_assist_cooling', 'method', 'whole_body', 'cooling', 'hyperthermic', 'individual', 'study', 'objective', 'investigate', 'efficacy', 'tarp_assist_cooling', 'body', 'cooling', 'modality', 'method', 'participant', 'exercise', 'motorize', 'treadmill', 'hot', 'condition', 'ambient_temperature', 'degreec_degreef', 'sd', 'degreec_degreef', 'relative', 'humidity', 'sd', 'reach', 'exercise', 'induced', 'hyperthermia', 'exercise', 'participant', 'cool', 'partial', 'immersion', 'use', 'tarp_assist_cooling', 'method', 'water', 'temperature_degreec', 'degreef', 'sd', 'degreec_degreef', 'passive_cooling', 'climatic', 'chamber', 'result', 'difference', 'exercise', 'duration', 'mean', 'difference', 'minute', 'ci', 'minute', 'end', 'exercise', 'rectal_temperature', 'mean', 'difference', 'degreec_degreef', 'ci', 'degreec_degreec', 'degreef', 'degreef', 'tarp_assist_cooling', 'minute', 'sd', 'minute', 'rectal_temperature', 'degreec_degreef', 'sd', 'degreec_degreef', 'passive_cooling', 'minute', 'sd', 'minute', 'degreec_degreef', 'sd', 'degreec_degreef', 'cooling', 'time', 'rectal_temperature', 'degreec_degreef', 'significantly', 'fast', 'tarp_assist_cooling', 'minute', 'sd', 'minute', 'passive_cooling', 'sd', 'minute', 'cooling', 'rate', 'tarp_assist', 'cool', 'passive_cooling', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'respectively', 'mean', 'difference', 'degreec_degreef', 'ci', 'degreec_degreec', 'degreef', 'degreef', 'sex', 'difference', 'observe', 'tarp_assist_cooling', 'rate', 'man', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'woman', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'mean', 'difference', 'degreec', 'min_degreef', 'min', 'ci', 'degreec', 'min', 'degreec', 'min_degreef', 'min_degreef', 'min', 'woman', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'great', 'cooling', 'rate', 'man', 'degreec', 'min_degreef', 'min', 'sd', 'degreec', 'min_degreef', 'min', 'passive_cooling', 'negligible', 'clinical', 'effect', 'mean', 'difference', 'degreec', 'min_degreef', 'min', 'ci', 'degreec', 'min', 'degreec', 'min_degreef', 'min_degreef', 'min', 'body_mass', 'moderately', 'negatively_correlate', 'cooling', 'rate', 'passive_cooling', 'tarp_assist_cooling', 'conclusion', 'absence', 'stationary', 'cooling', 'method', 'cold', 'water_immersion', 'tarp_assist_cooling', 'serve', 'alternative', 'field', 'expedient', 'method', 'provide', 'site', 'cooling', 'satisfactory', 'cooling', 'rate', 'american_college', 'emergency', 'physician', 'publish', 'inc_right_reserve']"
