,Topic Number,Contribution,Topic Keywords,Best Document,Document Tokens
27,28.0,0.8824,"intubation, airway, attempt, success, intubate, perform, endotracheal_intubation, device, difficult, management",14816,"['comparison', 'king', 'vision', 'video_laryngoscope', 'macintosh_laryngoscope', 'background', 'endotracheal_intubation', 'common', 'procedure', 'emergency', 'department', 'new', 'device', 'improve', 'intubation', 'time', 'success', 'view', 'objective', 'compare', 'king', 'vision', 'video_laryngoscope', 'king', 'system', 'noblesville', 'macintosh', 'direct_laryngoscope', 'dl', 'simulated', 'normal', 'difficult', 'airway', 'method', 'use', 'manikin', 'clinical', 'grade', 'cadaver', 'difficult', 'airway', 'scenario', 'simulate', 'use', 'head', 'movement', 'restriction', 'cervical_spine', 'collar', 'scenario', 'study', 'use', 'kvvl', 'dl', 'normal', 'manikin', 'airway', 'difficult', 'manikin', 'airway', 'normal', 'cadaver', 'airway', 'difficult', 'cadaver', 'airway', 'primary', 'outcome', 'time', 'intubation', 'rate', 'successful', 'intubation', 'secondary', 'outcome', 'percent', 'glottic_opening', 'cormack_lehane_grade', 'visualize', 'result', 'paramedic', 'participate', 'study', 'normal', 'manikin', 'airway', 'scenario', 'time', 'intubation', 'confidence_interval', 'ci', 'fast', 'kvvl', 'compare', 'dl', 'time', 'intubation', 'ci', 'fast', 'kvvl', 'difficult', 'cadaver', 'airway', 'scenario', 'difference', 'time', 'intubation', 'scenario', 'difficult', 'cadaver', 'airway', 'participant', 'fail', 'successfully', 'intubate', 'trachea', 'use', 'dl', 'kvvl', 'intubation', 'successful', 'scenario', 'find', 'low', 'cormack_lehane_grade', 'high', 'percentage_glottic_opening', 'kvvl', 'compare', 'dl', 'conclusion', 'kvvl', 'slightly', 'faster', 'macintosh', 'study', 'airway', 'scenario', 'high', 'success', 'rate', 'difficult', 'cadaver', 'airway', 'scenario', 'study', 'require', 'clinical', 'setting', 'inc_right_reserve']"
28,29.0,0.8307,"ultrasound, perform, image, pe, examination, diagnosis, chest, bedside, ultrasonography, diagnostic",5785,"['real', 'time', 'ultrasound', 'detection', 'deep_venous_thrombosis', 'purpose', 'accurate', 'diagnosis', 'deep_venous_thrombosis_dvt', 'clinical', 'problem', 'emergency', 'practice', 'prospective', 'trial', 'conduct', 'compare', 'real', 'time', 'ultrasound', 'contrast_venography', 'diagnosis', 'proximal', 'dvt', 'method', 'patient', 'clinical', 'presentation', 'mandate', 'diagnostic', 'evaluation', 'dvt', 'real', 'time', 'ultrasound', 'involve', 'leg', 'follow', 'contrast_venography', 'initial', 'reading', 'ultrasound', 'venography', 'compare', 'final', 'reading', 'assess', 'reliability', 'interpretation', 'result', 'final', 'ultrasound', 'reading', 'agree', 'final', 'venogram', 'reading', 'patient', 'negative', 'initial', 'ultrasound', 'reading', 'agree', 'final', 'venogram', 'reading', 'patient', 'negative_predictive_value', 'confidence_interval', 'patient', 'positive', 'initial', 'ultrasound', 'reading', 'compare', 'positive', 'final', 'venogram', 'reading', 'positive', 'predictive_value', 'confidence_interval', 'conclusion', 'negative', 'real', 'time', 'ultrasonography', 'reliably', 'exclude', 'proximal', 'dvt', 'positive', 'ultrasound', 'reliably', 'diagnose', 'proximal', 'dvt', 'experience', 'hand']"
29,30.0,0.7918,"pressure, blood, arterial, mm_hg, measurement, gas, respiratory, measure, change, heart",7756,"['continuous', 'monitoring', 'critically_ill', 'patient', 'transcutaneous', 'oxygen', 'carbon_dioxide', 'conjunctival', 'oxygen', 'sensor', 'transcutaneous', 'ptco', 'conjunctival', 'pcjo', 'oxygen_tension', 'transcutaneous', 'ptcco', 'carbon_dioxide', 'tension', 'serially', 'measure', 'critically_ill', 'patient', 'patient', 'maintain', 'normal', 'great', 'blood', 'pressure', 'patient', 'severely', 'hypotensive', 'map', 'less', 'hg', 'suffer', 'cardiac_arrest', 'emergency', 'department', 'hemodynamically_stable', 'patient', 'correlation', 'ptco', 'pao', 'pcjo', 'pao', 'ptcco', 'paco', 'significant', 'correlation_coefficient', 'value', 'respectively', 'hemodynamically_unstable', 'patient', 'poor', 'correlation', 'ptco', 'pcjo', 'ptcco', 'arterial', 'blood', 'gas', 'value', 'severely', 'hypotensive', 'patient', 'however', 'ptco', 'pcjo', 'sensitive', 'real', 'time', 'monitor', 'peripheral', 'perfusion', 'tissue', 'oxygen', 'delivery', 'increase', 'pcjo', 'ptco', 'occur', 'minute', 'patient', 'regain', 'palpable', 'blood', 'pressure', 'pulseless', 'baseline', 'ptco', 'fall', 'minute', 'loss', 'blood', 'pressure', 'patient', 'clinical', 'condition', 'deteriorated', 'emergency', 'department', 'decrease', 'pcjo', 'previously', 'stable', 'level', 'occur', 'minute', 'loss', 'blood', 'pressure', 'transcutaneous', 'conjunctival', 'sensor', 'use', 'continuous', 'monitor', 'respiratory', 'status', 'hemodynamically_stable', 'patient', 'severely', 'hypotensive', 'patient', 'cardiopulmonary_resuscitation', 'sensor', 'longer', 'accurately', 'reflect', 'arterial', 'blood', 'gas', 'act', 'sensitive', 'real', 'time', 'monitor', 'cardiac', 'function', 'peripheral', 'perfusion', 'pcjo', 'detect', 'deterioration', 'clinical', 'state', 'alteration', 'blood', 'pressure', 'occur']"
30,31.0,0.9335,"compression, cpr, chest, ventilation, perform, minute, device, depth, cc, hand",15076,"['effective', 'rescuer', 'position', 'cardiopulmonary_resuscitation', 'provide', 'patient', 'bed', 'randomize', 'control', 'crossover', 'mannequin', 'study', 'background', 'effectiveness', 'chest', 'compression', 'cardiopulmonary_resuscitation_cpr', 'affect', 'rescuer', 'position', 'respect', 'patient', 'hospital', 'chest', 'compression', 'typically', 'perform', 'stand', 'patient', 'place', 'bed', 'study', 'objective', 'compare', 'effectiveness', 'chest', 'compression', 'perform', 'bed', 'min', 'cpr', 'different', 'rescuer', 'position', 'stand', 'footstool', 'kneel', 'bed', 'method', 'perform', 'crossover', 'randomized', 'simulation', 'trial', 'participant', 'recruit', 'student', 'department', 'paramedic', 'july_august', 'participant', 'enrol', 'perform', 'chest', 'compression', 'mannequin', 'min', 'different', 'position', 'week', 'interval', 'position', 'result', 'number', 'adequate', 'compression', 'depth', 'mm', 'mean', 'compression', 'depth', 'significantly', 'great', 'kneel', 'footstool', 'position', 'stand', 'position', 'significant', 'difference', 'kneeling', 'footstool', 'position', 'significant', 'difference', 'compression', 'rate', 'percentage', 'correctly', 'release', 'compression', 'percentage', 'compression', 'perform', 'use', 'correct', 'hand', 'position', 'rescuer', 'position', 'conclusion', 'mean', 'compression', 'depth', 'number', 'adequate', 'compression', 'great', 'kneel', 'footstool', 'position', 'stand', 'position', 'min', 'recommend', 'kneel', 'bed', 'standing', 'footstool', 'rescuer', 'position', 'hospital', 'cpr', 'bed', 'inc_right_reserve']"
31,32.0,0.8559,"student, resident, training, skill, performance, simulation, medicine, assessment, knowledge, train",8765,"['programmatic', 'assessment', 'level', 'milestone', 'income', 'intern', 'objective', 'accreditation_council_graduate', 'medical', 'education_acgme', 'next', 'accreditation', 'system', 'emergency', 'medicine', 'residency', 'program', 'require', 'report', 'resident', 'progress', 'milestone', 'milestone', 'include', 'progressively', 'advance', 'skill', 'level', 'level', 'define', 'skill', 'set', 'medical', 'school', 'graduate', 'level', 'attend', 'physician', 'acgme', 'stress', 'multiple', 'form', 'assessment', 'use', 'ensure', 'capture', 'multifaceted', 'competency', 'objective', 'study', 'determine', 'feasibility', 'result', 'programmatic', 'assessment', 'level', 'milestone', 'use', 'multisource', 'assessment', 'income', 'intern', 'july', 'method', 'study', 'population', 'intern', 'start', 'intern', 'level', 'milestone', 'assessment', 'do', 'distinct', 'method', 'postgraduate', 'orientation', 'assessment', 'poa', 'graduate', 'medical', 'education', 'office', 'incoming_intern', 'multistation', 'examination', 'cover', 'milestone', 'include', 'standardized', 'patient', 'case', 'task', 'completion', 'computer', 'base', 'station', 'direct', 'observation', 'patient', 'encounter', 'core', 'faculty', 'use', 'milestone', 'base', 'clinical', 'skill', 'competency', 'checklist', 'global', 'monthly', 'assessment', 'end', 'intern', 'orientation', 'month', 'update', 'reflect', 'milestone', 'faculty', 'assessment', 'procedural', 'lab', 'occur', 'july', 'orientation', 'month', 'include', 'poa', 'clinical', 'shift', 'didactic_session', 'procedure', 'lab', 'result', 'poa', 'intern', 'competent', 'milestone', 'assess', 'overall', 'competency', 'low', 'score', 'note', 'aseptic', 'technique', 'patient', 'care', 'milestone', 'write', 'verbal', 'hand', 'interpersonal_communication_skill', 'ic', 'overall', 'communication', 'intern', 'demonstrate', 'competency', 'excess', 'demonstrate', 'competency', 'critical', 'value', 'interpretation', 'inform_consent', 'pain', 'assessment', 'geriatric', 'functional', 'assessment', 'direct', 'observation', 'almost', 'level', 'milestone', 'achieve', 'however', 'intern', 'achieve', 'competency', 'pharmacotherapy', 'global', 'monthly', 'evaluation', 'intern', 'meet', 'level', 'milestone', 'conclusion', 'multisource', 'assessment', 'milestone', 'feasible', 'useful', 'determine', 'level', 'milestone', 'achievement', 'incoming_intern', 'structured', 'assessment', 'program', 'use', 'conjunction', 'traditional', 'form', 'evaluation', 'global', 'monthly', 'evaluation', 'direct', 'observation', 'useful', 'identify', 'deficit', 'new', 'trainee', 'able', 'inform', 'creation', 'early', 'intervention', 'program', 'society_academic', 'emergency', 'medicine']"
32,33.0,0.7981,"cardiac_arrest, survival, resuscitation, outcome, cpr, cardiac, arrest, discharge, defibrillation, ventricular_fibrillation",17950,"['automate_external_defibrillator', 'extent', 'algorithm', 'delay', 'cpr', 'study', 'objective', 'maximize', 'cardiopulmonary_resuscitation_cpr', 'resuscitation', 'improve', 'survival', 'resuscitation', 'protocol', 'stack_shock', 'achieve', 'defibrillation', 'follow', 'immediate', 'pulse_check', 'purpose', 'study', 'evaluate', 'outcome', 'rhythm', 'reanalyse', 'immediately', 'shock', 'stack_shock', 'initial', 'postshock', 'pulse_check', 'relation', 'achieve', 'pulse', 'initiate', 'cpr', 'method', 'conduct', 'observational', 'study', 'patient', 'ventricular_fibrillation', 'treat', 'first', 'tier', 'emergency', 'medical', 'service', 'ems', 'collect', 'datum', 'ems', 'dispatch', 'hospital', 'record', 'additionally', 'analyze', 'automatic_external_defibrillator', 'recording', 'determine', 'proportion', 'cardiac_arrest', 'victim', 'defibrillate', 'achieve', 'pulse', 'accord', 'shock', 'number', 'single', 'stack_shock', 'proportion', 'victim', 'pulse', 'initial', 'pulse_check', 'interval', 'initial', 'shock', 'cpr', 'result', 'study', 'include', 'cardiac_arrest', 'subject', 'automatic_external_defibrillator', 'terminate', 'ventricular_fibrillation', 'initial', 'shock', 'case', 'second', 'shock', 'terminate', 'ventricular_fibrillation', 'additional', 'case', 'third', 'shock', 'terminate', 'ventricular_fibrillation', 'case', 'initial', 'sequence', 'shock', 'fail', 'terminate', 'ventricular_fibrillation', 'case', 'total', 'automatic_external_defibrillator', 'perform', 'rhythm', 'reanalyse', 'initial', 'shock', 'sequence', 'deliver', 'stack_shock', 'termination', 'ventricular_fibrillation', 'synonymous', 'return', 'pulse', 'initial', 'shock', 'produce', 'pulse', 'eventually', 'detect', 'case', 'stack_shock', 'produce', 'pulse', 'case', 'case', 'pulse', 'return', 'pulse', 'detect', 'initial', 'postshock', 'pulse_check', 'time', 'case', 'median', 'interval', 'initial', 'shock', 'cpr', 'second', 'conclusion', 'rhythm', 'reanalyse', 'stack_shock', 'postshock', 'pulse_check', 'low', 'yield', 'achieve', 'detect', 'return', 'pulse', 'initiate', 'second', 'initial', 'shock']"
33,34.0,0.5632,"ci, associate, age, factor, risk, confidence_interval, association, odd_ratio, increase, adjust",16950,"['patient', 'sex', 'quality', 'care', 'patient', 'myocardial_infarction', 'objective', 'aim', 'study', 'assess', 'quality', 'care', 'male', 'female', 'emergency', 'department', 'patient', 'acute', 'myocardial_infarction', 'method', 'year', 'retrospective', 'cohort', 'study', 'patient', 'present', 'immediately', 'conduct', 'datum', 'patient', 'characteristic', 'clinical', 'presentation', 'process', 'care', 'obtain', 'chart', 'review', 'multivariable_regression', 'model', 'use', 'assess', 'independent', 'association', 'sex', 'ed', 'administration', 'aspirin', 'beta_blocker', 'reperfusion', 'therapy', 'eligible', 'patient', 'result', 'woman', 'man', 'study', 'female', 'patient', 'old', 'male', 'patient', 'year', 'woman', 'year', 'man', 'ideal', 'patient', 'woman', 'less', 'likely', 'man', 'receive', 'aspirin', 'woman', 'man', 'beta_blocker', 'woman', 'man', 'reperfusion', 'therapy', 'woman', 'man', 'however', 'adjustment', 'age', 'longer', 'significant', 'relationship', 'sex', 'use', 'aspirin', 'odd_ratio', 'confidence_interval', 'ci', 'beta_blocker', 'ci', 'reperfusion', 'therapy', 'ci', 'model', 'adjust', 'additional', 'demographic', 'clinical', 'hospital', 'characteristic', 'remain', 'association', 'sex', 'process', 'care', 'conclusion', 'woman', 'treat', 'low', 'likelihood', 'receive', 'aspirin', 'beta_blocker', 'reperfusion', 'therapy', 'however', 'association', 'appear', 'explain', 'age', 'difference', 'man_woman', 'apparent', 'sex', 'disparity', 'care', 'ami', 'management', 'remain', 'suboptimal', 'sex']"
34,35.0,0.9152,"research, medicine, process, base, identify, develop, practice, development, article, quality",10009,"['overcome_barrier', 'address', 'education', 'problem', 'research', 'design', 'panel', 'discussion', 'plenary', 'panel', 'session', 'academic', 'emergency', 'medicine', 'consensus_conference', 'education', 'research', 'emergency', 'medicine', 'opportunity', 'challenge', 'strategy', 'success', 'discuss', 'barrier', 'educator', 'face', 'imagine', 'design', 'implement', 'study', 'address', 'educational', 'challenge', 'proceeding', 'article', 'present', 'general', 'approach', 'get', 'start', 'education', 'research', 'example', 'study', 'medical', 'education', 'literature', 'illustrate', 'distinct', 'way', 'approach', 'specific', 'research', 'question', 'discuss', 'study', 'design', 'use', 'applicable', 'variety', 'education', 'research', 'problem', 'emergency', 'medicine', 'potential', 'application', 'study', 'discuss', 'well', 'effect', 'lesson_learn', 'society_academic', 'emergency', 'medicine']"
35,36.0,0.9431,"pain, receive, difference, treatment, trial, score, minute, randomize, placebo, acute",249,"['comparison', 'intravenous', 'lidocaine', 'ketorolac', 'combination', 'analgesic', 'alone', 'suspect', 'renal_colic', 'pain', 'study', 'objective', 'compare', 'analgesic', 'efficacy', 'safety', 'intravenous', 'lidocaine', 'ketorolac', 'combination', 'analgesic', 'alone', 'patient', 'suspect', 'renal_colic', 'method', 'conduct', 'randomize_double_blind', 'trial', 'compare', 'analgesic', 'efficacy', 'combination', 'intravenous', 'lidocaine', 'mg_kg', 'ketorolac', 'mg', 'ketorolac', 'mg', 'lidocaine', 'mg_kg', 'patient', 'aged', 'present', 'suspect', 'renal_colic', 'primary', 'outcome', 'include', 'difference', 'pain', 'score', 'group', 'min', 'secondary', 'outcome', 'include', 'comparative', 'reduction', 'pain', 'score', 'group', 'baseline', 'min', 'well', 'rate', 'adverse_event', 'need', 'rescue', 'analgesia', 'min', 'result', 'enrol', 'subject', 'group', 'difference', 'mean', 'pain', 'score', 'min', 'lidocaine', 'lidocaine', 'ketorolac', 'group', 'ci', 'ketorolac', 'lidocaine', 'ketorolac', 'group', 'ci', 'ketorolac', 'lidocaine', 'ci', 'comparative', 'percentage', 'subject', 'group', 'require', 'rescue', 'analgesia', 'min', 'clinically', 'concern', 'change', 'vital_sign', 'observe', 'serious', 'adverse_event', 'occur', 'group', 'commonly', 'report', 'adverse', 'effect', 'dizziness', 'nausea', 'headache', 'conclusion', 'administration', 'intravenous', 'lidocaine', 'ketorolac', 'combination', 'patient', 'suspect', 'renal_colic', 'result', 'better', 'analgesia', 'comparison', 'lidocaine', 'alone', 'provide', 'analgesic', 'advantage', 'ketorolac', 'alone', 'clinicaltrial_gov', 'registration', 'nct', 'right_reserve']"
36,37.0,0.786,"level, serum, blood, acute, concentration, glucose, mg_dl, sample, lactate, significantly",13972,"['serum', 'lactate', 'necessary', 'patient', 'normal', 'anion_gap', 'serum', 'bicarbonate', 'introduction', 'increase', 'patient', 'serum', 'lactate', 'draw', 'emergency', 'situation', 'objective', 'study', 'determine', 'necessary', 'obtain', 'lactate', 'level', 'patient', 'normal', 'serum', 'bicarbonate', 'level', 'anion_gap', 'method', 'retrospective', 'chart', 'review', 'evaluation', 'patient', 'serum', 'lactate', 'electrolyte', 'measure', 'emergency', 'setting', 'academic', 'medical', 'center', 'result', 'patient', 'elevated', 'serum', 'lactate', 'mmol', 'patient', 'normal', 'serum', 'bicarbonate', 'sb', 'great', 'mmol', 'normal', 'anion_gap', 'normal', 'range', 'meq', 'find', 'patient', 'conclusion', 'find', 'patient', 'elevated', 'serum', 'lactate', 'normal', 'anion_gap', 'normal', 'serum', 'bicarbonate', 'conclude', 'serum', 'lactate', 'draw', 'base', 'clinical', 'suspicion', 'anaerobic', 'tissue', 'metabolism', 'independent', 'serum', 'bicarbonate', 'anion_gap', 'value']"
37,38.0,0.7054,"score, model, predict, measure, variable, scale, performance, point, correlation, correlate",1779,"['estimation', 'severity', 'breathlessness', 'emergency', 'department', 'dyspnea', 'score', 'background', 'dyspnea', 'frequent', 'complaint', 'emergency', 'department', 'significant', 'amount', 'subjective', 'affective', 'component', 'therefore', 'dyspnea', 'score', 'base', 'patient', 'rate', 'ambiguous', 'purpose', 'develop', 'validate', 'simple', 'score', 'system', 'evaluate', 'severity', 'dyspnea', 'emergency', 'care', 'base', 'objectively', 'measure', 'parameter', 'method', 'perform', 'double', 'center', 'prospective_observational', 'study', 'include', 'patient', 'admit', 'eds', 'dyspnea', 'evaluate', 'patient', 'subjective', 'feeling', 'dyspnea', 'apply', 'dyspnea', 'severity', 'score', 'rating', 'dyspnea', 'dimension', 'point', 'validate', 'use', 'deterioration', 'ph', 'base', 'excess', 'lactate', 'level', 'blood', 'gas', 'sample', 'objective', 'classification', 'scale', 'ocs', 'point', 'point', 'group', 'result', 'dimension', 'correlate', 'closely', 'ocs', 'value', 'subjective', 'feeling', 'dyspnea', 'use', 'multiple', 'linear_regression', 'analysis', 'able', 'decrease', 'number', 'dimension', 'cause', 'significant', 'change', 'determination', 'coefficient', 'ocs', 'group', 'reduce', 'value', 'exercise_tolerance', 'cooperation', 'cyanosis', 'spo', 'value', 'show', 'high', 'sensitivity_specificity', 'predict', 'value', 'ocs', 'group', 'range', 'auc', 'sensitivity_specificity', 'close', 'correlation', 'subjective', 'dyspnea', 'score', 'ocs', 'point', 'value', 'scatter', 'large', 'conclusion', 'new', 'dss', 'validate', 'score', 'suitable', 'compare', 'severity', 'dyspnea', 'different', 'patient', 'different', 'illness', 'simplify', 'version', 'score', 'value', 'point', 'correction', 'factor', 'useful', 'triage', 'pre', 'hospital', 'care']"
38,39.0,0.8084,"standard, technique, require, procedure, provide, application, reduction, rapid, device, setting",18542,"['fiberglass', 'cast', 'application', 'plaster', 'paris', 'largely', 'supercede', 'cast', 'orthopedic', 'department', 'synthetic', 'cast', 'material', 'weight', 'relative', 'brittleness', 'unpopularity', 'patient', 'messiness', 'application', 'plaster', 'paris', 'remain', 'mainstay', 'cast', 'emergency', 'department', 'due', 'combination', 'economic', 'reason', 'belief', 'synthetic', 'cast', 'leave', 'less', 'room', 'swelling', 'relative', 'ease', 'application', 'compare', 'synthetic', 'material', 'present', 'technique', 'synthetic', 'cast', 'application', 'avoid', 'problem', 'rapidly', 'set', 'cast', 'therefore', 'allow', 'time', 'less', 'experience', 'hand', 'produce', 'well', 'fitting', 'cast', 'splint', 'believe', 'option', 'allow', 'patient', 'light', 'synthetic', 'cast', 'rather', 'traditional', 'plaster', 'paris', 'cast', 'welcome', 'patient', 'physician']"
39,40.0,0.809,"injury, trauma, fracture, head, blunt, center, mechanism, cervical_spine, severity, age",6762,"['retrospective', 'review', 'relationship', 'facial', 'fracture', 'head', 'injury', 'cervical_spine', 'injury', 'facial', 'fracture', 'common', 'multiply', 'traumatize', 'patient', 'result', 'previous', 'study', 'examine', 'relationship', 'facial', 'fracture', 'cervical_spine', 'injury', 'head', 'injury', 'produce', 'conflict', 'result', 'retrospective', 'review', 'blunt', 'trauma', 'patient', 'month', 'period', 'regional', 'trauma', 'unit', 'reveal', 'patient', 'facial', 'fracture', 'average', 'injury', 'severity', 'score', 'iss', 'patient', 'facial', 'fracture', 'compare', 'average', 'iss', 'entire', 'group', 'facial', 'fracture', 'patient', 'mandible', 'maxilla', 'zygoma', 'orbital', 'nasoethmoidal', 'frontal', 'cervical_spine', 'injury', 'atlanto', 'occipital', 'subluxation', 'patient', 'ultimately', 'die', 'survive', 'patient', 'cord', 'injury', 'contrast', 'show', 'evidence', 'head', 'injury', 'head', 'injury', 'serious', 'patient', 'require', 'craniotomy', 'relationship', 'facial', 'fracture', 'cervical_spine', 'injury', 'emphasize', 'head', 'injury', 'frequently', 'minor', 'much', 'commonly', 'associate', 'facial', 'fracture']"
