Topic,1980 to 1980,1981 to 1981,1982 to 1982,1983 to 1983,1984 to 1984,1985 to 1985,1986 to 1986,1987 to 1987,1988 to 1988,1989 to 1989,1990 to 1990,1991 to 1991,1992 to 1992,1993 to 1993,1994 to 1994,1995 to 1995,1996 to 1996,1997 to 1997,1998 to 1998,1999 to 1999,2000 to 2000,2001 to 2001,2002 to 2002,2003 to 2003,2004 to 2004,2005 to 2005,2006 to 2006,2007 to 2007,2008 to 2008,2009 to 2009,2010 to 2010,2011 to 2011,2012 to 2012,2013 to 2013,2014 to 2014,2015 to 2015,2016 to 2016,2017 to 2017,2018 to 2018,2019 to 2019
1,0,2,0,0,0,1,1,0,1,2,6,0,1,2,1,3,10,6,4,4,16,8,6,8,9,20,8,10,12,9,16,17,9,7,14,12,10,16,13,5
2,0,1,1,2,2,6,5,2,3,6,4,6,2,10,6,6,6,16,8,8,14,7,10,9,7,26,9,9,16,17,32,18,34,28,36,22,25,58,31,12
3,6,10,5,2,17,11,6,9,9,12,18,13,12,14,11,16,8,9,15,13,34,11,13,15,16,18,9,13,18,23,60,41,44,34,32,20,19,70,71,111
4,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,2,1,5,6,0,2,2,3,14,6,7,13,9,28,9,31,33,54,32,38,66,56,24
5,0,1,1,0,0,0,1,1,0,2,6,4,5,5,6,5,9,1,9,4,12,3,3,4,5,18,3,6,4,5,8,5,3,2,4,4,5,8,7,2
6,1,3,3,0,5,3,3,8,0,6,10,12,10,16,8,22,13,21,15,18,34,18,17,18,16,36,9,14,17,18,38,17,30,33,74,29,19,44,29,12
7,4,4,3,3,7,20,17,17,14,17,32,17,13,14,10,17,14,15,12,15,34,12,4,11,10,24,13,14,18,18,48,18,15,17,26,11,17,26,25,25
8,4,0,2,2,1,5,1,4,2,2,0,2,6,5,6,16,17,18,27,13,46,11,17,26,15,34,17,16,17,19,42,25,27,28,44,27,15,18,16,11
9,0,0,0,0,3,1,1,1,0,4,8,7,3,2,6,1,7,5,7,6,16,4,7,15,8,32,13,13,9,10,32,17,17,24,18,24,21,58,25,28
10,2,1,4,5,5,8,6,4,2,4,2,2,4,4,3,4,5,11,6,2,12,11,3,4,3,8,7,13,8,18,32,17,25,19,38,20,15,32,23,10
11,3,2,3,2,2,4,7,2,5,7,28,9,17,12,16,18,11,17,17,24,38,8,11,11,10,38,9,11,11,17,48,21,10,20,48,22,20,56,16,16
12,2,4,7,13,41,37,28,32,14,22,48,23,21,25,19,22,19,19,11,8,42,9,12,19,12,18,15,14,15,16,26,10,19,30,34,15,25,24,8,8
13,1,4,0,1,8,9,8,10,8,12,32,8,9,11,13,22,13,11,14,7,22,11,9,9,5,14,6,5,4,10,20,5,12,8,16,13,11,16,11,5
14,2,1,1,2,1,1,5,2,1,4,2,2,2,6,2,2,0,5,4,3,12,3,2,1,2,18,7,5,2,3,14,10,16,16,24,22,20,48,30,24
15,1,2,0,7,3,7,1,2,3,1,10,7,5,5,8,9,12,10,9,11,16,14,8,7,8,16,15,11,8,6,22,19,16,9,18,16,11,26,25,21
16,0,1,0,0,0,1,1,0,0,0,6,1,1,2,2,4,2,2,6,5,12,3,3,5,4,14,7,5,6,10,34,10,18,13,28,18,21,54,31,10
17,0,0,3,0,1,1,4,2,3,2,8,2,2,3,7,4,7,9,12,9,32,8,3,8,5,16,8,4,6,10,32,15,17,30,40,22,23,54,33,8
18,4,1,2,5,9,7,10,8,7,13,16,10,11,10,15,14,9,16,24,21,22,13,6,15,16,22,27,22,15,22,28,12,14,17,18,20,10,29,16,11
19,3,0,1,0,2,1,1,1,1,5,4,3,1,1,1,3,2,0,8,9,16,5,4,5,6,28,2,6,7,9,24,14,9,8,16,17,12,22,13,14
20,0,0,0,0,1,1,0,2,2,2,0,3,0,3,4,7,3,4,5,4,12,9,10,4,16,32,11,13,14,13,22,20,19,23,40,22,21,42,22,20
21,0,0,0,0,1,6,5,5,7,6,14,8,4,7,7,11,8,8,8,12,24,4,5,5,10,14,7,5,10,16,18,36,17,15,24,11,12,12,15,5
22,2,0,0,0,2,1,1,1,2,5,0,2,3,2,9,4,6,7,7,11,10,11,8,15,15,20,14,22,13,24,66,23,31,39,80,20,24,46,31,9
23,0,1,0,2,4,4,2,3,5,7,6,5,7,5,8,7,9,10,13,15,30,8,17,13,18,28,13,18,23,19,42,28,40,42,84,49,42,96,55,37
24,1,1,3,2,3,8,11,9,10,7,14,2,5,3,6,2,2,5,3,2,12,2,1,7,4,18,11,10,11,14,48,15,16,18,50,13,26,24,16,15
25,7,0,2,2,6,4,7,7,5,5,22,9,9,10,16,25,12,17,23,7,22,11,10,6,9,12,3,10,9,9,14,8,6,5,4,8,3,4,8,8
26,1,0,0,0,2,2,4,5,5,6,8,6,7,5,12,9,14,14,9,10,46,15,18,16,14,28,17,22,10,29,52,24,48,21,44,26,26,34,26,12
27,4,2,3,3,4,9,7,6,4,10,14,8,5,6,8,12,9,6,6,10,20,5,4,4,5,12,9,7,10,8,26,8,12,6,12,5,6,26,12,6
28,1,3,4,1,5,5,5,5,9,8,10,7,9,7,7,5,8,5,13,10,18,5,9,10,11,30,11,9,7,9,26,18,13,18,32,33,26,50,27,10
29,1,3,1,4,7,5,6,4,5,5,18,3,2,5,6,7,11,13,12,11,38,14,13,11,14,22,15,10,10,15,48,16,31,25,58,26,29,68,31,28
30,4,7,5,10,12,17,9,11,8,6,22,12,7,5,11,16,13,3,13,3,14,7,7,4,5,30,11,13,14,9,26,12,19,18,40,15,19,24,23,8
31,1,1,2,5,10,10,3,5,4,2,2,5,2,4,12,11,1,1,3,2,4,3,2,1,2,8,8,2,2,7,12,9,12,17,34,19,28,34,14,7
32,2,1,1,0,3,6,6,5,3,4,12,3,4,2,7,7,10,2,12,5,22,4,27,8,6,22,16,16,19,15,40,30,20,17,58,41,24,48,31,20
33,0,7,1,11,23,21,14,7,8,9,18,6,8,14,10,17,8,6,11,12,10,9,2,7,1,12,11,5,17,11,28,6,10,17,38,22,20,54,27,16
34,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,2,6,2,2,3,6,5,7,12,11,14,6,16,19,11,30,23,20,28,40,33,33,50,31,27
35,7,3,0,2,4,6,4,3,4,6,10,9,6,16,8,6,8,20,36,23,22,13,22,23,12,44,17,41,33,47,82,44,46,38,136,60,58,95,68,40
36,1,2,0,2,2,1,6,5,1,5,16,12,9,14,21,20,11,11,22,20,42,21,25,29,25,42,17,29,25,22,44,17,30,25,56,39,37,50,38,36
37,0,0,2,3,2,3,4,6,5,5,12,10,13,2,8,8,8,12,6,9,28,5,5,8,5,18,13,17,14,17,40,24,23,26,26,21,30,36,25,21
38,1,1,0,1,3,0,0,3,1,4,10,1,2,2,2,1,5,5,7,4,2,6,6,6,12,16,5,10,7,12,22,10,10,18,28,15,24,32,23,16
39,4,1,3,3,9,9,12,5,6,7,14,4,7,7,4,6,6,6,8,4,12,3,3,2,2,22,1,3,9,9,16,10,5,5,14,7,11,14,6,6
40,3,5,5,5,9,8,11,8,15,13,26,11,13,9,14,13,16,16,13,13,18,13,16,13,3,12,15,13,6,14,18,22,14,23,48,20,22,36,25,16
